名词(中文)	名词(英文)	解释(中文)	解释(英文)
戟形的	Halberd-shaped	箭头形，基部裂片向外而非向下；戟形。	Arrowhead-shaped, but with the basal lobes turned outward rather than downward; halberd-shaped. (compare sagittate)
戟形的	Hastate	箭头形，基部裂片向外而非向下；戟形。	Arrowhead-shaped, but with the basal lobes turned outward rather than downward; halberd-shaped. (compare sagittate)
披针形的	Lanceolate	矛形，长远大于宽，最宽部位在中部之下。	Lance-shape, much longer than wide, with the widest point below the middle.
①线形的②条形的	Linear	线状；长且窄，两边近平行。	Resembling a line; long and narrow with more or less parallel sides.
大头羽裂的	Lyrate	竖琴状、羽状的、顶端裂片大而圆、下部裂片甚小。	Lyre-shaped; pinnatifid, with the terminal lobe large and rounded and the lower lobes much smaller.
倒心形的	Obcordate	倒置心形，叶连接点在窄的末端；有时指描述端部具有深缺刻的叶。	Inversely cordate, with the attachment  at the narrower end; sometimes refers to any leaf with a deeply notched apes.
倒三角形的	Obdeltoid	三角形连接点在端点。	Deltoid, with the attachment at the at the narrower end; sometimes refers to any leaf with a deeply notched apex.
倒椭圆形	Obelliptic or obelliptical	几乎为椭圆形，但远轴端略大于近轴端。	Almost elliptic, but with the distal end somewhat larger than the proximal en.
倒披针形	Oblanceolate	倒置披针形，连接点在窄的末端。	Inversely Lanceolate.  With the attachment at the narrower end.
长圆形的	Oblong	两边近平行，长二至四倍于宽。	Two to four times longer than broad with nearly parallel sides.
倒卵形的	Obovate	倒置卵形，连接点在窄的末端。	Inversely ovate, with the attachment at the narrower end.
圆形的	Orbicular	轮廓近圆形。	Approximately circular in outline.
圆形的	Orbiculate	轮廓近圆形。	Approximately circular in outline.
卵圆形的	Oval	宽椭圆形，宽超过长的二分之一。	Broadly elliptic, the width over one-half the length.
卵形的	Ovate	轮廓卵形，基部宽（平面结构）。	Egg-shaped in outline and attached at the broad end (applied to plane surfaces).
提琴形的	Pandurate	形似提琴。	Fiddle-shaped.
提琴形的	Panduriform	形似提琴。	Fiddle-shaped.
盾形的	Peltate	形似盾；叶柄着生在叶的下表面，而不在叶的基部或边缘。	Shield-shaped; borne on a stalk attached to the lower surface rather than to the base or margin.
茎穿叶的	Perfoliate	叶边缘完全包围茎，使茎看似由叶片中心穿过。	A leaf with the margins entirely surrounding the stem, so that the stem appears to pass though the leaf.
方形的	Quadrate	正方形；矩形的。	Square; rectangular.
肾形的	Reniform	形似肾。	Kidney-shaped.
菱形的	Rhombic	形似钻石。	Diamond-shaped.
斜方形的	Rhomboid	近菱形,侧面为钝角的四边形。	Quadrangular, nearly rhombic, with obtuse lateral angles.
具乳突的	Papillate	具乳突。	Having papillae.
具小乳突的	Papillose	具小的乳突。	Having minute papillae.
乳突状硬毛的	Papillose-hispid	具膨大、乳突状基部的硬毛。	With stiff hairs borne on swollen, nipplelike bases.
纸质的	Papyraceous	质地通常似纸。	Papery in texture and usually color.
透明的	Pellucid	透明或半透明。	Transparent or translucent.
具孔的	Perforate	具孔或穿孔。	With holes or perforations.
具柔毛的	Pilose	具长、软、直的毛。	Bearing long, soft, straight hairs.
具小柔毛的	Pilosulose	具小的长、软、直的毛。	Bearing minute, long, soft, straight hairs.
具小柔毛的	Pilosulous	具小的长、软、直的毛。	Bearing minute, long, soft, straight hairs.
具洼点的	Pitted	具小孔穴或凹陷。	With small pits or depressions.
铅色的	Plumbeous	铅色。	Lead-colored.
具粉霜的	Pruinate	表面被蜡质的白粉；明显具粉，如梅干明显具白霜。	With a waxy, powdery, uaually whitish coating (bloom) on the surface; conspicuously glaucous, like a prune.
具粉霜的	Pruinose	表面被蜡质的白粉；明显具粉，如梅干明显具白霜。	With a waxy, powdery, uaually whitish coating (bloom) on the surface; conspicuously glaucous, like a prune.
被微柔毛的	Puberulent	具细小的绒毛；具细小短毛。	Minutely pubescent; with fine, short hairs.
具条纹的	Striate	具有细的通常是平行的线条或沟。	Marked with fine, usually parallel lines or grooves.
具短糙伏毛的	Strigillose	具小的毛。	Minutely strigose.
具糙伏毛的	Strigose	具直而坚硬的毡状毛。	Bearing straight, stiff, sharp, appressed hairs.
具短糙伏毛的	Strigulose	具小的毛。	Minutely strigose.
瘤状的	Strumose	具垫状隆起的盖层；泡状的。	With a covering of cushion-like swellings; bullate.
具槽的	Sulcate	具纵向的沟或槽。	With longitudinal grooves or furrows.
具方格斑纹的	Tesselate	具有棋盘格状的式样。	With a checkered pattern.
被短绒毛的	Tomentellous	稍具绒毛。	Slightly tomentose.
被绒毛的	Tomentose	被覆短垫状或缠结的软绵状毛；具绒毛。	With a covering of short, matted or tangled, soft, wooly hairs; with tomentum.
被微绒毛的	Tomentulose	稍具绒毛。	Slightly tomentose.
半透明的	Translucent	几乎透明。	Almost transparent.
无刺的	Unarmed	无皮刺或棘。	Lacking spines, prickles, or thorns.
具钩的	Uncinate	顶端具钩。	Hooked at the tip.
刺人的	Urent	蛰人的。	Stinging.
被短绒毛的	Velutinous	被茸毛的；被覆散生的、柔软的短毛。	Velvety; covered with short, soft, spreading hairs.
疣状的	Verrucose	有疣的；被覆疣状突起。	Warty; covered with wart-like elevations.
茎基	Caudex (pl. Caudices, caudexes)	多年生草本植物宿存的木质化的基部。	The persistent and often woody base of a herbaceous perennisl.
皮层	Cortex	树皮；位于根表皮和中柱之间的组织。	Bark or rind; root tissue between the epidermis and the stele.
根茎、树冠	Crown	多年生草本植物宿存的基部，茎基。图1484。树的顶部。	The persistent base of a herbaceous perennial, a caudex. 4; the top part of a tree.
上升的	Ascending	见上升的。斜向上生长，常有弯曲。	Growing Obliquely upward, usually curved.
上升的	Assurgent	见上升的。斜向上生长，常有弯曲。	Growing Obliquely upward, usually curved.
丛生的	Caespitose	密集呈族生长。	Growing in dense tufts.
具茎的	Caulescent	在地上具有明显多叶的茎。	With an obvious leafy stem rising above the ground.
茎生花的	Cauliflorous	茎上或树干上生花。	Bearing flowers on the stem or trunk.
茎生的	Cauline	茎的、茎上的或与茎相关的。	Of, on, or pertaining to the stem.
丛生的	Cespitose	密集呈族生长。	Growing in dense tufts.
攀援的	Clambering	松散地沿其他植物或周围物体攀援生长。	Weakly climbing on other plants or surrounding objects.
攀援的	Climbing	依靠或缠绕其他支撑物多少直立生长。	Growing more or less erect by leaning or twining on another structure for support.
匍匐的	Creeping	 沿地表或近靠地面生长，通常在节处生根。	Growing along the surface of the ground, or just beneath the surface, and producing toots, usually at the nodes
外顷的	Decumbent	匐于地面生长，但端部向上。	Reclining on the ground but with the tip ascending.
歧散的	Deliquescent	无规则的分枝形式，从底部到顶部无固定的中心轴。	An irregular pattern of branching without a well defined central axis from bottom to top.
二歧的	Dichotomous	具多少相等的两个分枝或分叉。	Branched or forded into two more or less equal divisions.
极叉开的	Divaricate	宽角度地分叉或展开	Widely diverging or spreading apart.
分叉的	Divergent	分叉或展开。	Diverging or spreading.
不分枝的	Eramous	茎不分枝。	With unbranched stems.
直立的	Erect	垂直的，不倾斜或不展开	Verticlal, not declining or spreading.
扁化的	Fasciated	压成束状或带状；紧密地生长在一起；茎畸形扁化，好象几个分离的茎融合。	Compressed into a bundle or band; grown closely together; with the stems malformed and flattened as if several separate stems had been fused together.
束状的	Fasciculate	成束排列。	Arranged in fascicles.
帚状的	Fastigiate	成簇的、平行且直立，外形扫帚状。	Clustered, parallel, and erect, giving a broom-like appearance.
肉质的	Fleshy	厚而多肉，多汁的。	Thick and pulpy; succulent.
近灌木状的	Frutescent	灌木状的或似灌木状的。	Shrubby or shrublike.
灌木状的	Fruticose	灌木状的或似灌木状的。	Shrubby or shrublike.
小灌木状的	Fruticulose	稍灌木状，小灌木状。	Somewhat shrubby; small and shrubby.
草本的	Herbaceous	非木本。	Not woody.
具关节的	Jointed	具有节或关节，如仙人掌（Opunitia）属的茎。	Having nodes or points of articulation, as in the stems of Opunitia.
具长枝的	Macrocladous	具有长枝。	With long branches.
被微柔毛的	Puberulous	具细小的绒毛；具细小短毛。	Minutely pubescent; with fine, short hairs.
被短柔毛的	Pubescent	被覆短而软的毛；被毛。	Covered with short, soft hairs; bearing any kind of hairs.
粉状的	Pulverulent	呈粉末状或粉状。	Appearing dusty or powdery.
具点的	Punctate	由凹陷或半透明下陷的腺体或色斑形成斑点。	Dotted with pits or with translucent, sunken glands or with colored dots.
具小点的	Puncticulate	小的斑点。	Minutely punctate.
疱状突起的	Pustular	通常在毛的基部小的疱疹状突起。	With small blisters or pustules, often at the base of a hair.
疱状突起的	Pustulate	通常在毛的基部小的疱疹状突起。	With small blisters or pustules, often at the base of a hair.
疱状突起的	Pustuliferous	通常在毛的基部小的疱疹状突起。	With small blisters or pustules, often at the base of a hair.
疱状突起的	Pustulose	通常在毛的基部小的疱疹状突起。	With small blisters or pustules, often at the base of a hair.
具小鳞片的	Ramentaceous	具有扁平的、鳞片状的突起，如某些真蕨茎和叶的表皮。	With flattened, scaly outgrowths, as on the epidermis of the stem and leaves of some ferns.
露湿状的	Roridulate	被覆看似湿润的蜡质小板状覆盖层。	With a covering of waxy platelets, appearing moist.
有皱的	Rugate	起皱。	Wrinkled.
微皱的	Rugulose	稍起皱。	Slightly wrinkled.
嚼烂状的	Ruminate	粗糙地褶皱，好象被嚼烂过似的。	Roughly wrinkled, as if chewed.
微糙的	Scaberulent	由于表皮细胞的结构或存在短刚毛，手感稍糙。	Slightly rough to the touch, due to the structure of the epidermal cells, or to the presence of short stiff hairs.
微糙的	Scaberulose	由于表皮细胞的结构或存在短刚毛，手感稍糙。	Slightly rough to the touch, due to the structure of the epidermal cells, or to the presence of short stiff hairs.
微糙的	Scaberulous	由于表皮细胞的结构或存在短刚毛，手感稍糙。	Slightly rough to the touch, due to the structure of the epidermal cells, or to the presence of short stiff hairs.
微糙的	Scabrellate	由于表皮细胞的结构或存在短刚毛，手感稍糙。	Slightly rough to the touch, due to the structure of the epidermal cells, or to the presence of short stiff hairs.
粗糙的	Scabrid	粗糙。	Roughened.
微糙的	Scabridulous	微粗糙。	Minutely roughened.
粗糙的	Scabrous	由于表皮细胞的结构或短刚毛，手感稍糙。	Rough to the touch, due to the structure of the epidermal cells, or to the presence of short stiff hairs.
具鳞屑的	Scurfy	被覆小的糠秕状的鳞片。	Covered with small, bran-like scales.
被绢毛的	Sericeous	丝质的，具毡状细软的长毛。	Silky, with long, soft, slender, somewhat appressed hairs.
具刚毛的	Setose	被覆刚毛。	Covered with bristles.
具小刚毛的	Setulose	被覆小的刚毛。	Covered with minute bristles.
绢状的	Silky	外观或质地丝状；被绢毛。	Silk-like in appearance or texture; sericeous.
平滑的	Smooth	表面平；手感不糙。	With an even surface; not rough to the touch.
具刺的	Spiniferous	具刺。	Bearing spines.
具刺的	Spinose	具刺。	Bearing spines.
具刺的	Spinous	具刺。	Bearing spines.
周位的	Perigynous	雄蕊、瓣片和萼片着生于花萼筒上（托杯），花萼筒环绕、但并不真正接触上位子房。	With stamens, petals, and sepals borne on a calyx tube (hypanthium) surrounding, but not actually attached to, the superior ovary.
风媒的	Anemophilous	靠风传粉；产生风媒性花粉。	Wind pollinated; producing wind-borne pollen.
开花受精的	Chasmogamous	常指异花传粉的花在受精前开放。	Applied to flowers which open before fertilization and are usually cross-pollinated. (compare cleistogamous)
闭花受精的	Cleistogamous	指在未开放时进行自花受精的花。（对比开花受精的）。	Said of flowers which self-fertilize without opening. (compare chasmogamous)
雌雄蕊异熟的	Dichogamic	雌蕊和雄蕊在不同时间成熟以避免自花受精。（对比雌雄同熟）。	With the pistils and stamens maturing at different times to prevent self-fertilization. (compare homogamous)
雌雄异熟的	Dichogamous	雌蕊和雄蕊在不同时间成熟以避免自花受精。（对比雌雄同熟）。	With the pistils and stamens maturing at different times to prevent self-fertilization. (compare homogamous)
虫媒的	Entomophilous	靠昆虫传粉。	Insect pollinated.
同株异花受精的	Geitonogamous	同一植株的花相互传粉。	Pollinated by flowers of the same plant.
雌雄同熟的	Homogamous	雌蕊和雄蕊同时成熟以便自花受精。（对比雌雄异熟）。	With the pistils and stamens maturing at the same time, allowing self-fertilication. (compare dichogamous)
闭花受精的	Kleistogamous	指在未开放时进行自花受精的花。（对比开花受精的）。	Said of flowers which self-fertilize without opening. (compare chasmogamous)
雌花先熟的	Metandrous	雌花先于雄花成熟；雌先熟的。	With the female flowers maturing before the male flowers; protogynous.
鸟媒的	Ornithophilous	靠鸟传粉。	Pollinated by birds.
异花传粉	Outcrossing	一个植株花药的花粉传送到另一植株花的柱头上。	Transferring pollen from the anthers of the flowers of one plant to the stigma of the flower of another plant.
雄蕊先熟	Protandrous	在柱头可以受粉前花药释放花粉。	With the anthers releasing pollen before the stigma is receptive.
雄蕊先熟的	Proterandrous	在柱头可以受粉前花药释放花粉。	With the anthers releasing pollen before the stigma is receptive.
雌蕊先熟的	Proterogynous	柱头在花药释放花粉前即可受粉。	With the stigma receptive before the anthers release pollen.
雌蕊先熟的	Protogynous	柱头在花药释放花粉前即可受粉。	With the stigma receptive before the anthers release pollen.
自花传粉	Self-pollinating	花药中的花粉传送到同一朵花的柱头上或同一植株其他花的柱头上。	Transferring pollen from the anthers to the stigma of the flower or to the stigma of another flower on the same plant.
雄全异株，雄花两性花异株	Andro-dioecious	雄花和完全花分别在不同的植株上。	With staminate and perfect flowers on separate plants.
雄全同株，雄花两性花同株	Andro-monoecious	雄花和完全花在同一植株上。	With staminate and perfect flowers on the same plant.
雄全同株，雄花两性花同株	Andro-polygamous	雄花和完全花在同一植株上。	With staminate and perfect flowers on the same plant.
两性的	Bisexual	同一朵花内具有雄性和雌性生殖器官（雄蕊和雌蕊）。（等同完全的）	With both male and female reproductive organs (stamens and pistils). (same as perfect)
雌雄异花的	Diclinous	雄蕊和雌蕊位于不同的花中；不完全的。	With the stamens and pistils in separate flowers; imperfect.
雌雄异株的	Dioecious	具不完全花，生于雄花和雌花分别在不同的植株上。（对比雌雄同株的）。	With imperfect flowers, the staminate and pistillate flowers borne on different plants. (compare monoecious)
雌雄异株的	Dioicous	具不完全花，生于雄花和雌花分别在不同的植株上。（对比雌雄同株的）。	With imperfect flowers, the staminate and pistillate flowers borne on different plants. (compare monoecious)
雌雄异株的	Diecious	具不完全花，生于雄花和雌花分别在不同的植株上。（对比雌雄同株的）。	With imperfect flowers, the staminate and pistillate flowers borne on different plants. (compare monoecious)
雌全异株的，雌花两性花异株	Gyno-dioecious	雌花和完全花分别在不同的植株上。	With pistillate and perfect flowers on separate plants.
两性的	Hermaphroditic	在一朵花内具雄蕊和雌蕊；两性的；雌雄蕊同花的；完全的。	With pistils and stamens in the same flower; bisexual; monoclinous; perfect.
具两类花的	Heterogamous	具有不同性别的花。	With flowers of differing sex.
不完全的	Imperfect	一朵花内仅具有雄蕊或雌蕊；单性的。	With either stamens or pistils, but not both; unisexual.
雌雄同株的	Monecious	不完全花，即雄花和雌花长在同一个植株上。（对比雌雄异株）。	Flowers imperfect, the staminate and pistillate flowers borne on the same plant. (compare dioecious)
雌雄蕊同花的	Monoclinous	一朵花内具雄蕊和雌蕊；完全的。	With pistils and stamens in the same flower; perfect.
雌雄同株的	Monoecious	不完全花，即雄花和雌花长在同一个植株上。（对比雌雄异株）。	Flowers imperfect, the staminate and pistillate flowers borne on the same plant. (compare dioecious) 
完全的	Perfect	同一朵花内具有雄性和雌性生殖器官（雄蕊和雌蕊）；两性的。	With both male and female reproductive organs (stamens and pistils); bisexual.
雌蕊的	Pistillate	具有一个或多个雌蕊，但无雄蕊。（对比雄蕊的）。	Bearing a pistil or pistils, but lacking stamens. (compare staminate)
杂性异株的	Polygamo-dioecious	以雌雄异株为主，夹杂完全花。	Mostly dioecious, but with some perfect flowers.
杂性同株的	Polygamo-monoecious	以雌雄同株为主，杂完全花。	Mostly monoecious, but with some perfect flowers.
杂性的	Polygamous	单性花和两性花在同一植株上。	With unisexual and bisexual flowers on the same plant.
雄蕊花	Staminate	具有雄蕊，但不具雌蕊，如不产生果实和种子的雄花。（对比雌蕊的）	Bearing stamens but not pistils, as a male flower which does not produce fruit or seeds. (compare pistillate)
单全异株，单性花完全花异株	Triecious	雄花、雌花和两性花生于不同的植株上。	With male, female, and bisexual flowers on different plants.
单全异株，单性花完全花异株	Trioecious	雄花、雌花和两性花生于不同的植株上。	With male, female, and bisexual flowers on different plants.
单性的	Unisexual	一朵花内仅具雄性或雌性生殖部分。	With either male or female reproductive parts, but not both.
昼开性的	Diurnal	在白天发生或开放。	Occurring or opening in the daytime.
定时开花的	Equinoctial	有规律地在一天中的特定时间开放。	With flowers that open regularly at a particular hour of the day.
冬季开花的	Hibernal	在冬季开放。	Flowering in the winter.
托叶鞘	Ocreola (pl. ocreolae)	某些蓼科植物中，围绕花序次级分枝的托叶状小鞘。	A minute stipular sheath around the secondary divisions of the inflorescence in some members of the Polygonaceae.
花梗	Pedicel	花序中单朵花的柄，或禾草小穗的柄。	The stalk of a single flower in an inflorescence, or of a grass spikelet.
花序梗	Peduncle	单生花或整个花序的柄。	The stalk of a solitary flower or of an inflorescence.
雌器苞	Perigynium (pl. perigynia)	苔草属中,包被雌蕊的鳞片状苞片。	A scale-like bract enclosing the pistil in Carex.
总苞片	Phyllary	菊科总苞的苞片。	An involucral bract of the Compositae (Asteraceae).
小穗轴	Rachilla	禾草或莎草小穗的轴；小轴。	The axis of a grass or sedge spikelet; a small rachis.
花序轴	Rachis	花序的主轴。	The main axis of an inflorescence.
伞辐	Ray	伞形花序的花序分枝。	An inflorescence branch in an umbel.
花葶	Scape	无茎植物从地表（通常自基生莲座）抽出的无叶花序梗。	A leafless peduncle arising from ground level (usually from a basal rosette) in acaulescent plants.
副花梗	Secondary peduncle	花序分枝。	An inflorescence branch.
佛焰苞	Spathe	侧展并半包围或全包花个的一片或一对大苞片。	A large bract or pair of bracts subtending and often enclosing an inflorescence.
总苞片	Tegule	菊科总苞的一枚苞片。	One of the bracts of the involucre in the Compositae (Asteraceae).
柔荑花序	Ament	由无被单性花组成的密集的穗状或总状花序，如杨柳科和桦木科。	An inflorescence consisting of a dense spike or raceme of apetalous, unisexual flowers， as in Salicaceae and Betulaceae; an ament.
小头花状序	Capitulum	小的头状花序。	A small flower head.
柔荑花序	Catkin	由无被单性花组成的密集的穗状或总状花序，如杨柳科和桦木科。	An inflorescence consisting of a dense spike or raceme of apetalous, unisexual flowers， as in Salicaceae and Betulaceae; an ament.
异基数的	Heteromerous	各花部组成数目有变化，如一朵花各轮的数目彼此不同。	With a variable number of parts, as in a flower with a different number of members in each floral whorl.
六基数的	Hexamerous	以六的倍数成组排列。	With parts arranged in sets or multiples of six.
不完全的	Incomplete	缺少某个或多个花部结构，如一朵花缺少一轮花部结构（萼片、花瓣、雄蕊或雌蕊）。	Lacking an expected part or series of parts, as in a flower lacking one of the floral whorls (I.e. sepals, petals, stamens, or pistils).
等基数的	Isomerous	各花部组成数目相等，如一朵花各轮的数目彼此相等。	With an equal number of parts, as in a flower with an equal number of members in each floral whorl.
单轮的	Monocyclic	仅具一轮。	With a single whorls.
单基数的	Monomerous	仅具一个组分，如花轮仅具一枚。	With a single member, as in a floral whorl with only one part.
五轮的	Pentacyclic	具五轮。	With five whorls.
五基数的	Pentamerous	以为五的倍数成组排列。	With parts arranged in sets or multiples of five.
多轮的	Polycyclic	具多轮。	With many whorls.
多基数的	Polymerous	具多个组成部分，如花轮中具有多个组分。	With many part, as in a floral whorl with many members.
相等的	Symmetric	花部各轮数目相同。	Said of a flower having the same number of parts in each floral whorl.
四基数的	Tetramerous	以四的倍数成组排列。	With parts arranged in sets or multiples of four.
三基数的	Trimerous	以三的倍数成组排列。	With parts arranged in sets or multiples of three.
翼瓣	Ala (pl. alae)	蝶形花冠的两侧花瓣。	One of the two lateral petals of a papilionaceous corolla.
前唇瓣	Anterior lip or lobe	唇形花冠的下方唇瓣。	The lower lip of a bilabiate corolla. (compare posterior)
旗瓣	Banner	蝶形花冠的上方通常最大的花瓣，如豌豆和香豌豆。	The upper and usually largest petal of a papilionaceous flower, as in peas and sweet peas.
瓣片	Blade	花瓣宽展的部分	The broad part of a petal.
鳞桥	Bridge	连接花冠鳞片的带状结构组织，如菟丝子属（Cuscuta）。	A band of tissue connecting the corolla scales, as in Cuscuta.
瓣距	Calcar	距或距状附属物。	A spur or spurlike appendage.
萼檐	Calyx limb	合生萼片的分离部分。	One of the free portions of a calyx of united sepals.
萼裂片	Calyx lobe	合生萼片的分离部分。	One of the free portions of a calyx of united sepals.
萼齿	Calyx tooth	合生萼片的分离部分。	One of the free portions of a calyx of united sepals.
萼筒	Calyx tube	合生萼的筒状联合部分。	The tube-like united portion of a clayx of united sepals.
①龙骨瓣②龙骨状突起	Carina	龙骨状突起或脊。	A keel or ridge.
瓣爪	Claw	某些花瓣或萼片变窄的基部。	The narrowed base of some petals and sepals.
花冠裂片	Corolla lobe	合生花冠的分离部分。	One of the free portions of a corolla of united petals.
花冠筒	Corolla tube	合生花瓣的柱状、中空部分。	The hollow, cylindric portion of a corolla of united petals.
副花冠	Corona	某些花中，花瓣和雄蕊之间的瓣状或冠状结构。	Petal-like or crown-like structures between the petals and stamens in some flowers; a crown.
鸡冠状突起	Crest	隆起的脊或肋状凸起。	An elevated ridge or rib.
副花冠	Crown	某些花中，花瓣和雄蕊之间的瓣状或冠状结构。	Petal-like or crown-like structures between the petals and stamens in some flowers; a crown.
蝎尾状聚伞花序	Cincinnus	密集的螺旋状聚伞花序，花梗在花序发育一侧渐短。	A dense helicoid cyme with the pedicels short on the developed side.
伞房花序	Corymb	顶部平或圆的花序，总状，但下部花梗长于上部花梗。	A flat-topped or round-topped inflorescence, racemose, but with the lower pedicels longer than the upper.
杯状聚伞花序	Cyathium (pl. caythia)	大戟属由杯状总苞组成的花序总苞中包含一枚雌蕊雌花和多朵单雄蕊雄花。	The inflorescence in the genus Euphorbia, consisting of a cup-like involucre containing a single pistil and male flowers with a single stamen.
聚伞花序	Cyme	顶部平或圆的有限花序，圆锥状，顶端花先开放。	A flat-topped or round-topped determinate inflorescence, paniculate, in which the terminal flower blooms first.
小聚伞花序	Cymule	小的聚伞花序或复合聚伞花序的一小部分。	A small cyme or a small section of a compound cyme.
二歧聚伞花序	Dichasium	每个花分为两条相对或近相对的侧轴的聚伞花序。	A cymose inflorescence in which each axis produces two opposite or subopposite lateral axes.
团伞花序	Glomerule	密集的花簇；头状密集的聚伞花序。	A dense cluster; a dense, head-like cyme.
头状花序	Head	无柄或近无柄的花密集成簇而成的花序；菊科的具总苞花序。	A dense cluster of sessile or subsessile flowers; the involucrate inflorescence of the Compositae (Asteraceae).
螺卷聚伞花序	Helicoid cyme	一侧发育而卷曲如螺旋的聚伞花序。	A one-sided cymose inflorescence coiled like a spiral or helix.
隐头花序	Hypanthodium	由着生于头状花序壁上的花组成的花序，如榕属的花序。	An inflorescence with flowers borne on the walls of a capitulum, as in Ficus.
居间花序	Intercalary inflorescence	花形成以后营养主轴依然延长的花序。	An inflorescence type in which the main vegetative axis of the plant continues to elongate after the flowers are produced.
混合花序	Mixed inflorescence	具有总状部分和聚伞状部分的花序。	An inflorescence with both racemose and cymose portions.
单歧聚伞花序	Monochasium	具有单一主轴的聚伞花序类型。	A type of cymose inflorescence with only a single main axis.
圆锥花序	Panicle	花自基部向上依次成熟、具分支的总状花序。	A branched, racemose inflorescence with flowers maturing from the bottom upwards. 
多歧聚伞花序	Pleiochasium	从主轴分出两个以上分支的聚伞状花序。	A cymose inflorescence with more than two branches from the main axis.
多头聚伞花序	Polychasium	每个轴具两个以上侧轴的聚伞花序。	A cymose inflorescence in which each axis produces more than two branches.
晨开性的	Matutinal	在早晨开放。	Opening in the morning.
夜开性的	Nocturnal	在夜间开放。	Opening at night.
夜间开花的	Nyctanthous	夜间开花。	Night-flowering.
夜开的	Nyctigamous	在夜间开放。	Opening at night.
先有花的	Precocious	花发育早于叶。	With the flowers developing before the leaves.
先有花的	Proteranthous	花发育早于叶。	With the flowers developing before the leaves.
四季开花的	Semperflorous	整年都开花。	Flowering throughout the year.
迟季开花的	Serotinous	晚开花；花在叶充分发育后开放。	Flowering late; with flowers developing after the leaves are fully developed.
春季开花的	Vernal	在春季开花。	Flowering in the spring.
暮开性的	Vespertine	在傍晚开放。	Opening in the evening.
不同数的	Anisomerous	花部中不成轮部分的数目不同于（通常少于）成轮部分的数目，如一朵花具有五枚萼片和花瓣，却只有两枚雄蕊。	With a different number of parts (usually less) than the other floral whorls, as in a flower with five sepals and petals, but only two stamens.
完全的	Complete	花部齐全，如一朵花具有萼片、花瓣、雄蕊和雌蕊。	With all of the parts typically belonging to it, as a flower with sepals, petals, stamens, and pistils.
二轮列的	Dicyclic	具两轮。	With two whorls.
二基数的	Dimerous	以二的倍数成组排列。	With parts arranged in sets or multiples of two.
盔瓣	Cucullus	兜状瓣。	A hood.
副萼	Epicalyx	类似外层花萼的总苞，如锦葵属。	An involucre which resembles an outer calyx, as in Malva.
下垂萼片	Falls	鸢尾属的花瓣。	The sepals of an Iris.
花被管	Floral tube	花被筒状伸长的部分。	An elongated tubular portion of a perianth. See illustration for corolla tube.
冠筒鳞片	Fornix (pl. fornices)	花冠喉部着生的多个小突隆起或鳞片，如紫草科（Boraginaceae）。	One of a set of small crests or scales in the throat of a corolla, as in many of the Boraginaceae. See illustration for corona.
流苏	Fringed	沿边缘的毛或刚毛。	Hairs or bristles along the margin.
盔瓣	Galea	两个唇瓣的花冠盔状或兜状的上唇瓣。	The helmet-shaped or hood-like upper lip of some two-lipped corollas.
隆凸	Gibbosity	囊状膨大或隆起；隆起状态．	A swelling or protuberance; the state of being gibbous.
盔瓣	Helmet	拱曲中空的被片，如乌头属的上方花瓣。	A hollow, arched covering, as the upper petal in Aconitum.
兜状瓣	Hood	拱曲中空的被片，如乌头属的上方花瓣。	A hollow, arched covering, as the upper petal in Aconitum.
角状突起	Horn	像牛角一样渐尖的突起。	A tapering projection resembling the horn of a cow.
龙骨瓣	Keel	蝶形花下部的两枚基部联合的花瓣。	The two lower united petals of a papillonaceous flower.
唇瓣	Labellum	唇；兰花特化的花瓣。	Lip; the exceptional petal of an orchid blossom.
下唇瓣	Labium (pl. labia)	唇形花冠的下唇。	The lower lip of a bilabiate corolla.
副花冠裂片	Lamella (pl. lamellae)	着生在某些花冠的花瓣上并参与副花冠形成的直立的鳞片。	An erect scale inserted on the petal in some corollas and forming part of the corona. See illustration for corona.
片	Lamina	叶或花瓣的宽展部分。	The expanded portion, or blade, of a petal.
腺瓣	Lepanthium	具腺体的花瓣。	A petal with nectary.
舌瓣	Ligula	菊科放射状花冠的扁平部分。	The flattened part of the ray corolla in the Compositae (Asteraceae).
冠檐	Limb	花瓣的开张部分或瓣片，图 1762；合瓣花冠的开张部分，图 1778。	The expanded part, or blade, of a petal; the expanded part of a sympetalous corolla.
唇	Lip	不规则二唇形花冠或花萼的突起或裂片；下唇瓣，图 1776；兰花特化的花瓣。图 1775。	One of the two projections or segments of an irregular, two-lipped corolla or calyx; a labium; the exceptional petal of an orchid blossom.
浆片	Lodicule	禾草花子房基部成对的、未发育的鳞片	Paired, rudimentary scales at the base of the ovary in grass flowers.
口	Orifice	开口如管状花冠的口状张开。	An opening or mouth, as the mouth-like opening of a tubular corolla.
喉凸	Palate	花冠下唇上隆起的部分或完全堵塞的附属物。	A raised appendage on the lower lip of a corolla which partially or completely closes the throat.
冠毛	Pappus	菊科的变态花萼，由着生于瘦果顶部的芒、鳞片或刚毛组成。	The modified calyx of the Compositae (Asteraceae), consisting of awns, scales, or bristles at the apex of the achene.
花瓣	Petal	花冠的单个裂片或组分，通常有色或白色。	An individual segment or member of the corolla, usually colored or white.
褶	Plait	叠或褶如某些花冠。	A fold or pleat, as in some corolla.
后唇瓣	Posterior	二唇形花冠的上唇。	The upper lip of a bilabiate corolla. (compare anterior)
